"time","Austria","Belgium","Czechia","France","Germany","Hungary","Italy","Luxembourg","Netherlands","Poland","Slovakia","Spain"
"2009_15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_40",0,0,NA,NA,0,0,NA,0,0,0,NA,0
"2010_41",0,0,NA,NA,994.872318892641,0,NA,0,0,0,NA,0
"2010_42",0,0,0,NA,192.362821046643,0,NA,0,0,NA,0,0
"2010_43",0,0,0,NA,0,0,NA,0,0,0,0,4.24693506841935
"2010_44",0,0,70.1894855334045,NA,0,0,NA,0,0,0,0,5.02059307548753
"2010_45",0,0,606.049516349484,NA,170.705201736505,0,NA,0,18.0235752473261,0,0,21.1343734819677
"2010_46",0,30.8193648012878,NA,NA,179.766309548706,0,0,0,14.3636155227732,0,0,27.9511524287184
"2010_47",0,0,0,NA,241.743457675564,0,127.301823583646,0,NA,0,0,19.5063662746848
"2010_48",0,32.7235360819165,NA,NA,NA,0,155.399712498024,499.439021828811,22.3288932217657,NA,323.394237861481,105.375433246901
"2010_49",614.941650288222,184.32634450531,NA,NA,117.063533920062,0,0,915.638206686153,49.0756863694753,NA,NA,108.475195639393
"2010_50",0,508.681726404413,NA,NA,1575.22484279188,53.0230289584712,197.064852805465,2944.06160235931,94.1304900764266,116.322412818085,786.038611216894,446.594907504932
"2010_51",1425.34271218504,1270.74478056133,NA,NA,905.610882687168,393.320959994572,799.122972320653,1398.42926112067,52.6449256717029,0,279.533927200762,1186.25855103271
"2010_52",1062.15442494558,1479.51136436086,144.409964984593,NA,NA,45.5523624228557,2004.56291875575,2533.91856663146,212.598815297915,163.569758642057,0,2218.08822167857
"2011_01",2465.71562933795,3439.0571111452,343.96188193113,NA,2080.47925782757,532.593378243263,2478.40216442627,3059.06400870147,946.224885004757,547.683012082395,0,3322.33176443977
"2011_02",4543.29030513008,3906.21379865946,1058.05421174528,NA,2858.3749944172,0,3293.3578805755,NA,770.300426483559,1121.44278603999,0,4445.99244853088
"2011_03",9439.35374793743,3411.39729215658,2083.42447731581,NA,2965.83237065288,1230.212693256,5718.69367162158,4044.44370041777,872.780003749762,1904.0507911189,862.264499919028,3700.81631202575
"2011_04",12008.8725277311,3264.25150870198,4861.6892239124,NA,3326.13187786947,4066.06474054505,NA,3165.16910953238,574.220281205578,2092.1834631852,3926.62153392662,2477.91961300158
"2011_05",17469.2052317795,2111.93752480404,7011.66919686914,NA,3672.04415276025,2596.24634716605,7201.13620248371,3132.84477328981,627.681695677259,2719.20119299685,5273.6394147634,1663.65075783732
"2011_06",8418.37284855311,2235.96363254687,6991.52570899999,NA,2974.40358872879,4692.07062559504,6312.34876841066,2352.33617207683,369.849235217662,1684.34548877532,7661.99872861066,1171.11398475616
"2011_07",6546.69630425447,1560.95028436729,10213.0468160229,NA,1929.99974650059,4388.03413947908,3393.32849779408,1649.93248282732,192.265514561189,1116.49844743338,6229.44934049575,449.048233345024
"2011_08",3724.15678189999,NA,3013.74467839825,NA,1348.19415538286,2648.99924426037,1667.16253771885,427.297829786871,67.39513502911,753.731283393459,NA,179.939110413666
"2011_09",3816.99774359471,NA,1917.53299243232,NA,1331.09114229278,1791.19212227894,1123.18038553914,1430.82530577984,34.8041453051814,956.428727615363,3372.1922456521,125.911425850594
"2011_10",1513.76675081133,NA,2519.0394047429,NA,952.136949525425,828.61571544235,815.960704614507,NA,9.50533380183525,642.486933845662,1537.2430674477,58.8792675034942
"2011_11",1352.03407008698,NA,834.024274483832,NA,678.805379400634,358.239993905581,167.0652389105,NA,15.5819579108656,374.847363554716,1549.42317548619,36.2735942852566
"2011_12",225.72868518677,0,726.66899888712,NA,783.252709366131,358.386389517129,104.031524167177,0,13.6555499688337,359.000497878504,568.978940607489,0
"2011_13",373.370586277788,0,348.840922384677,NA,386.508843215387,66.8521985297863,24.8836210543967,0,0,64.4786146789895,76.0388588446838,5.88460211638537
"2011_14",0,0,NA,NA,81.9720028639304,0,58.4639929640011,0,19.7866132201468,71.7057568694934,674.957926294519,11.3942050782952
"2011_15",0,0,210.597865602532,NA,0,0,47.7180027278432,0,0,24.0432399855802,1117.23636949917,0
"2011_16",0,0,NA,NA,0,0,0,0,0,NA,257.564352777538,0
"2011_17",0,0,0,NA,0,0,0,0,0,0,1077.52090345485,0
"2011_18",0,0,NA,NA,0,0,NA,0,0,0,NA,0
"2011_19",0,0,NA,NA,0,0,NA,NA,0,NA,NA,0
"2011_20",0,0,NA,NA,0,0,NA,NA,0,0,0,0
"2011_21",0,0,NA,NA,0,NA,NA,NA,0,0,0,NA
"2011_22",0,0,NA,NA,0,NA,NA,NA,0,0,0,NA
"2011_23",0,NA,NA,NA,0,NA,NA,NA,0,0,0,NA
"2011_24",0,NA,NA,NA,0,NA,NA,NA,0,0,0,NA
"2011_25",0,0,NA,NA,0,NA,NA,NA,0,NA,0,NA
"2011_26",0,0,NA,NA,0,NA,NA,NA,0,0,0,NA
"2011_27",0,0,NA,NA,0,NA,NA,NA,0,0,0,NA
"2011_28",0,NA,NA,NA,0,NA,NA,NA,0,0,0,NA
"2011_29",0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"2011_30",0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA
"2011_31",0,NA,NA,NA,1121.94928100022,NA,NA,NA,0,0,139.526069143986,NA
"2011_32",0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"2011_33",0,NA,NA,NA,0,NA,NA,NA,0,0,224.609991142701,NA
